	Kingdom:Phylum:Class:Order:Family:Genus:Species
SV_198	Bacteria:Firmicutes:Clostridia:Monoglobales:Monoglobaceae:Monoglobus:NA
SV_199	Bacteria:Firmicutes:Bacilli:Lactobacillales:Streptococcaceae:Streptococcus:NA
SV_200	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella_7:NA
SV_201	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Marvinbryantia:NA
SV_202	Bacteria:Proteobacteria:Gammaproteobacteria:Burkholderiales:Neisseriaceae:Neisseria:NA
SV_203	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Coprococcus:catus
SV_204	Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacterales:Pasteurellaceae:Haemophilus:NA
SV_205	Bacteria:Firmicutes:Clostridia:Oscillospirales:Ruminococcaceae:[Eubacterium] siraeum group:NA
SV_206	Bacteria:Firmicutes:Negativicutes:Veillonellales-Selenomonadales:Veillonellaceae:Veillonella:NA
SV_207	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Lachnoclostridium:edouardi
SV_208	Bacteria:Firmicutes:Clostridia:Oscillospirales:[Eubacterium] coprostanoligenes group:NA:NA
SV_209	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Prevotellaceae:Alloprevotella:NA
SV_210	Bacteria:Actinobacteriota:Actinobacteria:Actinomycetales:Actinomycetaceae:Actinomyces:NA
SV_211	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides:NA
SV_212	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Porphyromonadaceae:Porphyromonas:NA
SV_213	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Blautia:NA
SV_214	Bacteria:Firmicutes:Clostridia:Peptostreptococcales-Tissierellales:Family XI:Ezakiella:NA
SV_215	Bacteria:Bacteroidota:Bacteroidia:Flavobacteriales:Weeksellaceae:Bergeyella:NA
SV_216	Bacteria:Firmicutes:Clostridia:Oscillospirales:Butyricicoccaceae:Butyricicoccus:NA
SV_217	Bacteria:Firmicutes:Bacilli:Lactobacillales:Streptococcaceae:Streptococcus:NA
SV_218	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Rikenellaceae:Alistipes:NA
SV_219	Bacteria:Proteobacteria:Gammaproteobacteria:Burkholderiales:Sutterellaceae:Parasutterella:NA
SV_220	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:NA:NA
SV_221	Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacterales:Pasteurellaceae:Aggregatibacter:NA
SV_222	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Roseburia:hominis
SV_223	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:[Eubacterium] xylanophilum group:NA
SV_224	Bacteria:Firmicutes:Clostridia:Oscillospirales:Oscillospiraceae:UCG-002:NA
SV_225	Bacteria:Proteobacteria:Gammaproteobacteria:Burkholderiales:Neisseriaceae:Neisseria:NA
SV_226	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Lachnoclostridium:NA
SV_227	Bacteria:Firmicutes:Bacilli:Lactobacillales:Lactobacillaceae:Lactobacillus:NA
SV_228	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:NA:NA
SV_229	Bacteria:Firmicutes:Bacilli:Lactobacillales:Lactobacillaceae:Lactobacillus:NA
SV_230	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Porphyromonadaceae:Porphyromonas:endodontalis
SV_231	Bacteria:Firmicutes:Bacilli:Staphylococcales:Staphylococcaceae:Nosocomiicoccus:NA
SV_232	Bacteria:Fusobacteriota:Fusobacteriia:Fusobacteriales:Leptotrichiaceae:Leptotrichia:hofstadii
SV_233	Bacteria:Firmicutes:Clostridia:Oscillospirales:Oscillospiraceae:UCG-002:NA
SV_234	Bacteria:Actinobacteriota:Actinobacteria:Corynebacteriales:Corynebacteriaceae:Corynebacterium:NA
SV_235	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella:nanceiensis
SV_236	Bacteria:Actinobacteriota:Actinobacteria:Micrococcales:Microbacteriaceae:Pseudoclavibacter:NA
SV_237	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Paludibacteraceae:F0058:NA
SV_238	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Lachnospiraceae NK4A136 group:NA
SV_239	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Marvinbryantia:NA
SV_240	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides:NA
SV_241	Bacteria:Actinobacteriota:Actinobacteria:Actinomycetales:Actinomycetaceae:Actinomyces:NA
SV_242	Bacteria:Actinobacteriota:Coriobacteriia:Coriobacteriales:Eggerthellaceae:NA:NA
SV_243	Bacteria:Firmicutes:Bacilli:Staphylococcales:Staphylococcaceae:Staphylococcus:NA
SV_244	Bacteria:Firmicutes:Bacilli:Lactobacillales:Lactobacillaceae:Lactobacillus:iners
SV_245	Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacterales:Pasteurellaceae:Actinobacillus:porcinus
SV_246	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Lachnoanaerobaculum:NA
